"hpl_id";"linje";"lan_kod";"lan";"kommun_kod";"kommun";"tatort_pop";"tatort_kod";"tatort";"y_wgs84";"x_wgs84";"x_sweref99tm";"y_sweref99tm"
780486;"848";"03";"Uppsala";"0380";"Uppsala";NA;NA;NA;59,8933303180153;17,1515572018785;620380,944592552;6641487,40700744
780487;"848";"03";"Uppsala";"0380";"Uppsala";NA;NA;NA;59,8941594079815;17,1415319174032;619817,167959562;6641561,52354705
780488;"806, 809";"03";"Uppsala";"0380";"Uppsala";NA;NA;NA;59,8799317132579;18,1722981925265;677539,176781071;6642292,4957593
780490;"809";"03";"Uppsala";"0380";"Uppsala";NA;NA;NA;59,8850636777075;17,9775654067034;666620,199865798;6642357,470954
780492;"106";"03";"Uppsala";"0380";"Uppsala";NA;NA;NA;59,8916000685028;17,4719624492993;638309,839642981;6641920,6964104
780496;"106";"03";"Uppsala";"0380";"Uppsala";NA;NA;NA;59,8928209415291;17,4684144312021;638106,315916653;6642049,19114468
780497;"806, 809";"03";"Uppsala";"0380";"Uppsala";NA;NA;NA;59,8883391378491;18,1990020777234;678987,672166191;6643299,98163506
780498;"106";"03";"Uppsala";"0380";"Uppsala";NA;NA;NA;59,8939027091149;17,4508867863971;637121,494100643;6642133,17789235
780499;"106";"03";"Uppsala";"0380";"Uppsala";NA;NA;NA;59,8947082889064;17,4220520810082;635505,45743357;6642163,48667833
780500;"106";"03";"Uppsala";"0380";"Uppsala";NA;NA;NA;59,8948495520195;17,4331906679014;636127,859155747;6642202,0602282
780501;"106";"03";"Uppsala";"0380";"Uppsala";NA;NA;NA;59,8958650002121;17,4007912454067;634311,664174275;6642248,92728994
780502;"106";"03";"Uppsala";"0380";"Uppsala";NA;NA;NA;59,897989884238;17,3906002768379;633733,154655904;6642464,83536321
780504;"106";"03";"Uppsala";"0380";"Uppsala";NA;NA;NA;59,9017138863263;17,3929758614943;633851,021752264;6642884,18370904
780506;"806, 809";"03";"Uppsala";"0380";"Uppsala";NA;NA;NA;59,8922386027074;18,2268930053633;680526,220018251;6643809,64609945
780511;"806, 809";"03";"Uppsala";"0380";"Uppsala";NA;NA;NA;59,8976585967932;18,2441426048861;681461,150598224;6644459,93574215
